CMPCODE|CUSTID|DOCTYPE|DOCSUBTYPE|DOCNUM|SOURCESYS|INVOICEREF|GLACCT|DOCDATE|POSTDATE|K84DATE|CLEARDATE|DOCDESC|XACTREF|CUSTREF|EXTREF5|DOCCURR|HOMECURR|DUALCURR|NORMCURR|ORGVAL_DOC|ORGVAL_HOME|ORGVAL_DUAL|ORGVAL_NORM|OPENVAL_DOC|OPENVAL_HOME|OPENVAL_DUAL|OPENVAL_NORM
C165|333050010|SALE-INV-CDN|INV|707231|LOCUS|842313445|112111|2016-03-04|2016-03-05||||10827911825782|IG286900000||CAD|CAD||USD|1394.14|1394.14||1039.86|1394.14|1394.14||1039.86
C165|334402020|SALE-INV-CDN|INV|706851|LOCUS|410751131|112111|2016-03-04|2016-03-05||||10827911829014|958604551||CAD|CAD||USD|10.45|10.45||7.79|10.45|10.45||7.79
C310|135501050|SALE-INV-CDN|INV|22247269|LOCUS|515000811|112111|2016-03-04|2016-03-05||||10827690527257|0027012620||CAD|CAD||USD|1515.15|1515.15||1130.12|1515.15|1515.15||1130.12
C310|364147005|SALE-INV-CDN|INV|22242128|LOCUS|451368385|112111|2016-03-04|2016-03-05||||41657751702192|224BPARS616523||CAD|CAD|USD|USD|0.85|0.85|0.68|0.68|0.85|0.85|0.68|0.68
U125|961421001|SALE-INV-USD|INV|6798002|SmartBorder|138538288|112121|2016-03-04|2016-03-05||||30071109747|8612  PO 518876 AGH||USD|USD||USD|35.4|35.4||35.4|35.4|35.4||35.4
U125|904023001|SALE-INV-USD|INV|6798007|SmartBorder|138538299|112121|2016-03-04|2016-03-05||||30071109192|29565||USD|USD||USD|111.71|111.71||111.71|111.71|111.71||111.71
U125|900237001|SALE-INV-USD|INV|6797931|SmartBorder|138538210|112121|2016-03-04|2016-03-05||||30071093099|342448||USD|USD||USD|10|10||10|10|10||10
C310|206805035|SALE-INV-CDN|INV|22235766|LOCUS|410749976|112111|2016-03-04|2016-03-05||||10827690546169|7249901||CAD|CAD||USD|190.48|190.48||142.08|190.48|190.48||142.08
C310|138248010|SALE-INV-CDN|INV|22241596|LOCUS|438573756|112111|2016-03-04|2016-03-05||||10827690210335|9250326316||CAD|CAD||USD|14.95|14.95||11.15|14.95|14.95||11.15
C310|291926005|SALE-INV-CDN|INV|22246963|LOCUS|745434385|112111|2016-03-04|2016-03-05||||10827690635851|214321||CAD|CAD||USD|858.7|858.7||640.49|858.7|858.7||640.49
C310|272711400|SALE-INV-CDN|INV|22247720|LOCUS|410751195|112111|2016-03-04|2016-03-05||||10827911829639|0409464265||CAD|CAD||USD|7.91|7.91||5.9|7.91|7.91||5.9
U125|961556001|SALE-INV-USD|INV|6798101|SmartBorder|138538413|112121|2016-03-04|2016-03-05||||30071001779|424083||USD|USD|CAD|USD|19.15|19.15|26.71|19.15|19.15|19.15|26.71|19.15
C310|227800010|SALE-INV-CDN|INV|22242272|LOCUS|815813521|112111|2016-03-04|2016-03-05||||10827689874347|10233740||CAD|CAD||USD|22.52|22.52||16.8|22.52|22.52||16.8
C310|101609015|SALE-INV-CDN|INV|22245080|LOCUS|310030308|112111|2016-03-04|2016-03-05||||10827961173028|Y BOUSLIMANI||CAD|CAD||USD|47.2|47.2||35.21|47.2|47.2||35.21
C165|333531020|SALE-INV-CDN|INV|707236|LOCUS|842313780|112111|2016-03-04|2016-03-05||||10827911828057|3681132131||CAD|CAD|USD|USD|521.74|521.74|415.73|415.73|521.74|521.74|415.73|415.73
C310|351547010|SALE-INV-CDN|INV|22240254|LOCUS|815819028|112111|2016-03-04|2016-03-05||||10827690652751|24075||CAD|CAD||USD|201.87|201.87||150.57|201.87|201.87||150.57
C310|289147010|SALE-INV-CDN|INV|22235519|LOCUS|458846108|112111|2016-03-04|2016-03-05||||10827690676715|1040148||CAD|CAD|USD|USD|1133.08|1133.08|885.22|885.22|1133.08|1133.08|885.22|885.22
C310|294827200|SALE-INV-CDN|INV|22235521|LOCUS|458844924|112111|2016-03-04|2016-03-05||||10827690636464|108932||CAD|CAD||USD|14.95|14.95||11.15|14.95|14.95||11.15
C310|271647005|SALE-INV-CDN|INV|22247685|LOCUS|410736682|112111|2016-03-04|2016-03-05||||10827690051402|0114437044||CAD|CAD||USD|27.23|27.23||20.31|27.23|27.23||20.31
U125|961613001|SALE-INV-USD|INV|6798141|SmartBorder|138538466|112121|2016-03-04|2016-03-05||||30075443860|||USD|USD|CAD|USD|-250|-250|-348.75|-250|-250|-250|-348.75|-250
C310|137311010|SALE-INV-CDN|INV|22241800|LOCUS|458844016|112111|2016-03-04|2016-03-05||||10827690581573|CURTIS||CAD|CAD|USD|USD|1142.02|1142.02|909.98|909.98|1142.02|1142.02|909.98|909.98
C310|227800010|SALE-INV-CDN|INV|22242287|LOCUS|815815354|112111|2016-03-04|2016-03-05||||10827690153381|10234578||CAD|CAD||USD|29.89|29.89||22.29|29.89|29.89||22.29
C310|134821085|SALE-INV-CDN|INV|22240413|LOCUS|410752669|112111|2016-03-04|2016-03-05||||10827961201976|0028978329||CAD|CAD||USD|34.67|34.67||25.86|34.67|34.67||25.86
U125|912747001|SALE-INV-USD|INV|6797975|SmartBorder|138538258|112121|2016-03-04|2016-03-05||||30071017833|VARIOUS||USD|USD||USD|436.37|436.37||436.37|436.37|436.37||436.37
U125|902393001|SALE-INV-USD|INV|6797985|SmartBorder|138538271|112121|2016-03-04|2016-03-05||||30071109523|PER001MAR416||USD|USD||USD|48.85|48.85||48.85|48.85|48.85||48.85
U125|921294001|SALE-INV-USD|INV|6797986|SmartBorder|138538273|112121|2016-03-04|2016-03-05||||30075443266|TPPFMA0542808||USD|USD||USD|7.3|7.3||7.3|7.3|7.3||7.3
C310|122464010|SALE-INV-CDN|INV|22238698|LOCUS|320852901|112111|2016-03-04|2016-03-05||||10827690664163|AP54342||CAD|CAD||USD|623.06|623.06||464.73|623.06|623.06||464.73
C310|137970010|SALE-INV-CDN|INV|22241897|LOCUS|458844717|112111|2016-03-04|2016-03-05||||10827690626930|NA||CAD|CAD||USD|22.04|22.04||16.44|22.04|22.04||16.44
C310|272711400|SALE-INV-CDN|INV|22247730|LOCUS|410751204|112111|2016-03-04|2016-03-05||||10827911829720|0409464374||CAD|CAD||USD|7.91|7.91||5.9|7.91|7.91||5.9
U125|961853001|SALE-INV-USD|INV|6798155|SmartBorder|138538482|112121|2016-03-04|2016-03-05||||30075443977|NEW BOND||USD|USD|CAD|USD|600|600|837|600|600|600|837|600
C310|351543010|SALE-INV-CDN|INV|22238442|LOCUS|830362619|112111|2016-03-04|2016-03-05||||10827911806120|70497351||CAD|CAD|USD|USD|888.62|888.62|708.06|708.06|888.62|888.62|708.06|708.06
C310|126376010|SALE-INV-CDN|INV|22247835|LOCUS|745431984|112111|2016-03-04|2016-03-05||||10827689946149|000027312516||CAD|CAD||USD|52.89|52.89||39.45|52.89|52.89||39.45
C310|158838212|SALE-INV-CDN|INV|22245548|LOCUS|451361616|112111|2016-03-04|2016-03-05||||10827690204623|3067883478||CAD|CAD||USD|28.14|28.14||20.99|28.14|28.14||20.99
